"Cites","id_old","Authors","authorCount","unknownCount","femaleCount","1st","2nd","3rd","4th","5th","last","allAuthors","Title","Year","Source","dataset","ArticleURL","Type","DOI","Abstract"
99,"R170","Martin Potthast, Tim Gollub, Francisco M Rangel Pardo, Paolo Rosso, Efstathios Stamatatos, Benno Stein",6,0,0,0,0,0,0,0,0,0,"Improving the Reproducibility of PAN's Shared Tasks: - Plagiarism Detection, Author Identification, and Author Profiling.",2014,"Cross-Language Evaluation Forum",1,"https://link.springer.com/chapter/10.1007/978-3-319-11382-1_22","Conference",,
98,"R573","Martin Potthast, Tim Gollub, Francisco Rangel, Paolo Rosso, Efstathios Stamatatos, Benno Stein",6,0,0,0,0,0,0,0,0,0,"Improving the Reproducibility of PAN’s Shared Tasks:",2014,"Cross-Language Evaluation Forum",1,"https://riunet.upv.es/handle/10251/49756","Conference","10.1007/978-3-319-11382-1_22",
0,"R2880","Bryan P Kibble",1,0,0,0,"NA","NA","NA","NA",0,0,"Improving the S.I. - Simpler is better",2009,"Instrumentation and Measurement Technology Conference",1,"http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000005168398","Conference","10.1109/IMTC.2009.5168398",
8,"R585","Lukasz Cybulski, Evan Mayowilson, Sean Grant",3,0,0,0,0,0,"NA","NA",0,0,"Improving Transparency and Reproducibility Through Registration: The Status of Intervention Trials Published in Clinical Psychology Journals.",2016,"Journal of Consulting and Clinical Psychology",1,"https://www.ncbi.nlm.nih.gov/pubmed/27281372","Journal","10.1037/ccp0000115",
1,"R3681","Eric Laporte",1,0,0,0,"NA","NA","NA","NA",0,0,"In memoriam Maurice Gross",2005,"Archives of Control Sciences",1,"http://dblp.uni-trier.de/db/journals/corr/corr0711.html#abs-0711-3452","Journal",,
0,"R180","Eugene Kolker",1,0,0,0,"NA","NA","NA","NA",0,0,"In praise of open research measures: Reproducibility",2013,"Nature",1,"http://www.nature.com/articles/498170b","Journal","10.1038/498170b",
5,"R388","Lisa M Mcshane",1,0,1,1,"NA","NA","NA","NA",1,1,"In Pursuit of Greater Reproducibility and Credibility of Early Clinical Biomarker Research",2017,"Clinical and Translational Science",1,"http://onlinelibrary.wiley.com/doi/10.1111/cts.12449/full","Journal","10.1111/cts.12449",
0,"R1795","Marlene Agerstrand",1,0,1,1,"NA","NA","NA","NA",1,1,"In Response: Reporting recommendations to ensure reliability and reproducibility of ecotoxicity studies--A tripartite initiative.",2016,"Environmental Toxicology and Chemistry",1,"https://ncbi.nlm.nih.gov/pubmed/27089442","Journal","10.1002/etc.3358",
2,"R2600","Peter Fisher",1,0,0,0,"NA","NA","NA","NA",0,0,"In vitro models for homeopathic high dilutions: the quest for reproducibility.",2006,"Journal of Alternative and Complementary Medicine",1,"https://www.ncbi.nlm.nih.gov/pubmed/16722784","Journal","10.1089/acm.2006.12.357",
0,"R3370","Helena Kandarova, Hans Raabe, Gregory Chua, Mitch Klausner, Joseph Kubilus, Patrick Hayden, Seyoum Ayehunie, Yulia Kaluzhny, Rodger Curren, John Sheasgreen",10,2,1,1,0,0,0,0,0,0.125,"In vitro skin corrosion test: Evidence of long term reproducibility and reliability for a regulatory accepted method",2007,"Toxicology Letters",1,"https://www.sciencedirect.com/science/article/pii/S0378427407003694","Journal","10.1016/j.toxlet.2007.05.232",
6,"R1127","Mario Jorge Da Silva Martins, Francisco Caramelo, Julio Andre Ramalho Da Fonseca, Pedro Nicolau",4,0,0,0,0,0,0,"NA",0,0,"In vitro study on the sensibility and reproducibility of the new T‐Scan®III HD system",2014,"Revista Portuguesa De Pneumologia",1,"http://www.sciencedirect.com/science/article/pii/S1646289014000028","Journal","10.1016/j.rpemd.2014.01.001",
0,"R2655","上村 江美, Kamimura Emi",2,2,"NA","NA","NA","NA","NA","NA","NA","NA","In Vivo Evaluation of Inter-operator Reproducibility of Digital Dental and Conventional Impression Techniques",2017,"PLOS ONE",1,"https://lilitory.showa-u.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=4570&item_no=1&page_id=15&block_id=20","Journal","10.1371/journal.pone.0179188",
2,"R1568","Kevin Moulin, Pierre Croisille, Thorsten Feiweier, Benedicte M Delattre, Hongjiang Wei, Benjamin Robert, Olivier Beuf, Magalie Viallon",8,2,1,0,0,0,"NA","NA",1,0.1666666667,"In vivo free-breathing DTI & IVIM of the whole human heart using a real-time slice-followed SE-EPI navigator-based sequence: a reproducibility study in healthy volunteers",2015,"Journal of Cardiovascular Magnetic Resonance",1,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4328828/","Journal","10.1186/1532-429X-17-S1-P383",
10,"R1063","Jeanchristophe Goebel, Radu Bolbos, Astrid Pinzano, Mathilde Schaeffer, Adrian Rengle, Laurent Galois, Stephanie Etienne, P Netter, Damien Loeuille, Olivier Beuf, Pierre Gillet",11,2,3,"NA",0,1,1,0,0,0.3333333333,"In vivo rat knee cartilage volume measurement using quantitative high resolution MRI (7 T): feasibility and reproducibility.",2008,"Bio-medical Materials and Engineering",1,"https://www.ncbi.nlm.nih.gov/pubmed/19065030","Journal","10.3233/BME-2008-0533",
77,"R433","Sofia Tranaeus, X Q Shi, Larserik Lindgren, Karin Trollsas, Birgit Angmarmansson",5,2,3,1,"NA","NA",1,1,1,1,"In vivo Repeatability and Reproducibility of the Quantitative Light-Induced Fluorescence Method",2002,"Caries Research",1,"https://www.ncbi.nlm.nih.gov/pubmed/11961323","Journal","10.1159/000057583",
0,"R1905","Emil Avsar, John C Collins",2,0,0,0,0,"NA","NA","NA",0,0,"Inability to find justification of a $k_T$-factorization formula by following chains of citations",2012,"arXiv: High Energy Physics - Phenomenology",1,"https://128.84.21.199/abs/1209.1675","Journal",,
2,"R2911","Julio Delgado, Maria Cristina Fernandezjimenez",2,0,1,0,1,"NA","NA","NA",1,0.5,"Inappropriate analysis of reproducibility",2003,"British Journal of Haematology",1,"http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2141.2003.04661.x/full","Journal","10.1046/j.1365-2141.2003.04661.x",
0,"R2555","Julio Delgado, Maria Cristina Fernandezjimenez, B Nebiyou Bekele, Francis J Giles, Maher Albitar",5,1,1,0,1,"NA",0,0,0,0.25,"Inappropriate analysis of reproducibility. Authors' reply",2003,"British Journal of Haematology",1,,"Journal",,
2,"R508","Ronald F Boisvert",1,0,0,0,"NA","NA","NA","NA",0,0,"Incentivizing reproducibility",2016,"Communications of The ACM",1,"http://dl.acm.org/citation.cfm?id=2994031","Journal","10.1145/2994031",
0,"R3376","Paul Ko Ferrigno",1,0,0,0,"NA","NA","NA","NA",0,0,"Increasing experimental reproducibility, from antibodies to protein arrays",2016,"Drug Discovery Today",1,"https://www.sciencedirect.com/science/article/pii/S1359644616302550","Journal","10.1016/j.drudis.2016.07.005",
10,"R352","Nicola Ferro, Norbert Fuhr, Kalervo Jarvelin, Noriko Kando, Matthias Lippold, Justin Zobel",6,1,2,1,0,"NA",1,0,0,0.4,"Increasing Reproducibility in IR: Findings from the Dagstuhl Seminar on ""Reproducibility of Data-Oriented Experiments in e-Science""",2016,"International ACM SIGIR Conference on Research and Development in Information Retrieval",1,"http://dblp.uni-trier.de/db/journals/sigir/sigir50.html#FerroFJKLZ16","Conference","10.1145/2964797.2964808",
0,"R1732","Jan Wacker",1,0,1,1,"NA","NA","NA","NA",1,1,"Increasing the Reproducibility of Science through Close Cooperation and Forking Path Analysis",2017,"Frontiers in Psychology",1,"https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01332/full","Journal","10.3389/fpsyg.2017.01332",
3,"R1252","Daniel Kasperek, Sebastian Maisenbacher, Andreas Kohn, Udo Lindemann, Maik Maurer",5,2,0,0,0,0,"NA","NA","NA",0,"Increasing the reproducibility of structural modelling",2015,"Journal of Engineering Design",1,"http://www.tandfonline.com/doi/full/10.1080/09544828.2015.1026883","Journal","10.1080/09544828.2015.1026883",
4,"R1294","Marian Kelley",1,0,1,1,"NA","NA","NA","NA",1,1,"Incurred sample reanalysis: it is just a matter of good scientific practice",2011,"Bioanalysis",1,"https://www.future-science.com/doi/references/10.4155/bio.10.215","Journal","10.4155/bio.10.215",
90,"R40","Philip Timmerman, Silke Luedtke, Peter Van Amsterdam, Margarete Brudnykloeppel, Berthold Lausecker, Stephanie Fischmann, Susanne Globig, Carljohan Sennbro, Josep M Jansat, Hans Mulder, Elizabeth Thomas, Magnus Knutsson, Dirk Kasel, Stephen White, Morten A Kall, Nathalie Mokrzyckiissartel, Achim Freisleben, Fernando Romero, Michael Pilgard Andersen, Norbert Knebel, Marcel De Zwart, Sirpa Laakso, Richard Hucker, Dietmar Schmidt, Ben Gordon, Richard W Abbott, Pierre Boulanger",27,4,6,0,1,0,1,0,0,0.2608695652,"Incurred sample reproducibility: views and recommendations by the European Bioanalysis Forum",2009,"Bioanalysis",1,"https://www.future-science.com/doi/abs/10.4155/bio.09.108","Journal","10.4155/bio.09.108",
8,"R2417","O M Bazanova",1,1,"NA","NA","NA","NA","NA","NA","NA","NA","Individual alpha peak frequency variability and reproducibility in various experimental conditions",2011,"Zhurnal vyssheĭ nervnoĭ deiatelnosti imeni I P Pavlova",1,"https://www.ncbi.nlm.nih.gov/pubmed/21469333","Journal",,
1,"R1312","Luis De Sisternes, Gowtham Jonna, Margaret A Greven, Qiang Chen, Theodore Leng, Daniel L Rubin",6,2,1,0,"NA",1,"NA",0,0,0.25,"Individual Drusen Segmentation and Repeatability and Reproducibility of Their Automated Quantification in Optical Coherence Tomography Images",2017,"Translational Vision Science & Technology",1,"http://tvst.arvojournals.org/article.aspx?articleid=2607047","Journal","10.1167/tvst.6.1.12",
3,"R1595","Peter Kent, Andrew M Briggs, Hanne B Albert, Andreas Byrhagen, Christian Hansen, Karina Kjaergaard, Tue Secher Jensen",7,1,2,0,0,1,0,0,"NA",0.3333333333,"Inexperienced clinicians can extract pathoanatomic information from MRI narrative reports with high reproducibility for use in research/quality assurance",2011,"Chiropractic & Manual Therapies",1,"https://link.springer.com/article/10.1186/2045-709X-19-16","Journal","10.1186/2045-709X-19-16",
6,"R1655","Lili Tian",1,0,1,1,"NA","NA","NA","NA",1,1,"Inferences on the within-subject coefficient of variation",2006,"Statistics in Medicine",1,"https://www.ncbi.nlm.nih.gov/pubmed/16138361","Journal","10.1002/sim.2330",
17,"R522","Deborah Gensburger, Jeanpaul Roux, M E Arlot, Elisabeth Sornayrendu, Philippe Ravaud, Roland Chapurlat",6,1,2,1,0,"NA",1,0,0,0.4,"Influence of Blinding Sequence of Radiographs on the Reproducibility and Sensitivity to Change of Joint Space Width Measurement in Knee Osteoarthritis",2010,"Arthritis Care and Research",1,"http://onlinelibrary.wiley.com/doi/10.1002/acr.20311/full","Journal","10.1002/acr.20311",
0,"R2961","S M Lobmaier, M Cruzlemini, B Valenzuelaalcaraz, J U Ortiz, J M Martinez, E Gratacos, F Crispi",7,7,"NA","NA","NA","NA","NA","NA","NA","NA","Influence of equipment and settings on myocardial performance index repeatability and definition of settings to achieve optimal reproducibility",2014,"Geburtshilfe Und Frauenheilkunde",1,"https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0034-1388045","Journal","10.1055/s-0034-1388045",
17,"R631","Michele Baffi Diniz, Jonas De Almeida Rodrigues, Klaus W Neuhaus, Rita De Cassia Loiola Cordeiro, Adrian Lussi",5,0,2,1,0,0,1,0,0,0.4,"Influence of examiner’s clinical experience on the reproducibility and accuracy of radiographic examination in detecting occlusal caries",2010,"Clinical Oral Investigations",1,"https://link.springer.com/article/10.1007/s00784-009-0323-z","Journal","10.1007/s00784-009-0323-z",
1,"R3052","A Clave, L Tristan, A Desseaux, F Gaucher, C Lefevre, E Stindel",6,6,"NA","NA","NA","NA","NA","NA","NA","NA","Influence of experience on intra- and inter-observer reproducibility of the Crowe, Hartofilakidis and modified Cochin classifications.",2016,"Orthopaedics & Traumatology-surgery & Research",1,"https://www.sciencedirect.com/science/article/pii/S1877056816000049","Journal","10.1016/j.otsr.2015.12.009",
0,"R2116","Frederik Trinkmann, Matthias Sampels, Ursula Hoffmann, Martin Borggrefe, Jens J Kaden, Joachim Saur",6,0,1,0,0,1,0,0,0,0.1666666667,"Influence of gas concentration and measurement interval on the reproducibility of non-invasive cardiac output determination by inert gas rebreathing in pulmonary healthy patients",2011,"European Respiratory Journal",1,"http://erj.ersjournals.com/content/38/Suppl_55/p2164","Journal",,
13,"R1033","Wivian Eiras Garcia Wong Alves, Evelise Ono, Jefferson Luis Oshiro Tanaka, Edmundo Medici Filho, Luiz Cesar De Moraes, Mari Eli Leonelli De Moraes, Julio Cezar De Melo Castilho",7,2,1,"NA","NA",0,0,0,0,0.2,"Influence of image filters on the reproducibility measurements of alveolar bone loss",2006,"Journal of Applied Oral Science",1,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4327293/","Journal","10.1590/S1678-77572006000600006",
2,"R1254","Rebecca Birch, Andrew C Peet, Hamid Dehghani, Martin Wilson",4,0,1,1,0,0,0,"NA",0,0.25,"Influence of macromolecule baseline on (1) H MR spectroscopic imaging reproducibility.",2017,"Magnetic Resonance in Medicine",1,"http://www.ncbi.nlm.nih.gov/pubmed/26800478","Journal","10.1002/mrm.26103",
8,"R2108","Angel Diazortiz, Antonio De La Hoz, Jesus Alcazar, Jose Ramon Carrillo, Maria Antonia Herrero, Alberto Fontana, Juan De M Munoz, Pilar Prieto, Abel De Cozar",9,0,3,1,0,0,0,1,0,0.3333333333,"Influence of polarity on the scalability and reproducibility of solvent-free microwave-assisted reactions.",2011,"Combinatorial Chemistry & High Throughput Screening",1,"http://www.eurekaselect.com/73124","Journal","10.2174/138620711794474088",
3,"R1454","Kazuo Hayashi, Onejune Chung, Seojung Park, Seungpyo Lee, Rohit C L Sachdeva, Itaru Mizoguchi",6,5,0,"NA","NA","NA","NA",0,"NA",0,"Influence of standardization on the precision (reproducibility) of dental cast analysis with virtual 3-dimensional models.",2015,"American Journal of Orthodontics and Dentofacial Orthopedics",1,"http://www.sciencedirect.com/science/article/pii/S0889540614010075","Journal","10.1016/j.ajodo.2014.11.015",
0,"R4080","Takamasa Fujii, Kosuke Kashiwagi, Masaki Sato, Akira Fujino, Masahiro Tanaka",5,1,1,"NA",0,0,1,0,0,0.25,"Influence of the bite impression technique on reproducibility of occlusal contacts in working casts for dental implants",2014,"Journal of Osaka Dental University",1,"http://ci.nii.ac.jp/naid/110009810295","Journal","10.18905/jodu.48.1_17",
2,"R678","Jiři Plura, Pavel Klaput",2,1,0,"NA",0,"NA","NA","NA",0,0,"Influence of the Interaction Between Parts and Appraisers on the Results of Repeatability and Reproducibility Analysis",2012,"Quality, Innovation, Prosperity",1,"https://ideas.repec.org/a/tuk/qipqip/v16y2012i13.html","Journal","10.12776/qip.v16i1.59",
65,"R596","Thierry Conrozier, H Favret, Pierre Mathieu, Muriel Piperno, D Provvedini, A Taccoen, F Colson, S Conrozier, Eric Vignon",9,5,1,0,"NA",0,1,"NA",0,0.25,"Influence of the quality of tibial plateau alignment on the reproducibility of computer joint space measurement from Lyon schuss radiographic views of the knee in patients with knee osteoarthritis",2004,"Osteoarthritis and Cartilage",1,"http://www.sciencedirect.com/science/article/pii/S1063458404001098","Journal","10.1016/j.joca.2004.06.003",
0,"R3829","G I Garnaeva, L A Nefediev, E I Khakimzyanova, K L Nefedieva",4,4,"NA","NA","NA","NA","NA","NA","NA","NA","Information reproducibility in a stimulated photon-echo response at different orientations of external spatially inhomogeneous electric fields",2014,"Optics and Spectroscopy",1,"https://link.springer.com/article/10.1134/S0030400X14080104","Journal","10.1134/S0030400X14080104",
0,"R2780","J Baden, J Markiewicz, J Painter, J Jones, K Curtin, S Canning, J Quijano, W Guinto, Yixin Wang, G Green",10,10,"NA","NA","NA","NA","NA","NA","NA","NA","Informative rate and reproducibility of the investigational GeneSearch ProCaM assay in a multicenter laboratory setting.",2009,"Journal of Clinical Oncology",1,,"Journal",,
0,"R2817","Kevin Albuquerque, Steven D Glaser, M Gao",3,1,0,0,0,"NA","NA","NA","NA",0,"Initial Set-up Reproducibility for Prone Breast Irradiation (PBI): Comparative Clinical Data with Su",2010,"Fuel and Energy Abstracts",1,,"Journal",,
1,"R2570","Amy Bourkewaite",1,0,1,1,"NA","NA","NA","NA",1,1,"Innovations in scholarly peer review at Nature Publishing Group and Palgrave Macmillan",2015,"Insights: The UKSG Journal",1,"https://insights.uksg.org/article/10.1629/uksg.243/","Journal","10.1629/uksg.243",
1,"R3690","S F Barrett, M W Bundle",2,2,"NA","NA","NA","NA","NA","NA","NA","NA","Instrumentation array for biomechanical reproducibility - biomed 2010.",2010,"Biomedical sciences instrumentation",1,"http://www.ncbi.nlm.nih.gov/pubmed/20467071","Journal",,
1,"R1093","Sheeba Samuel",1,0,1,1,"NA","NA","NA","NA",1,1,"Integrative Data Management for Reproducibility of Microscopy Experiments",2017,"European Semantic Web Conference",1,"https://link.springer.com/chapter/10.1007/978-3-319-58451-5_19","Conference","10.1007/978-3-319-58451-5_19",
0,"R3910","Fabricio Miranda Ribeiro, Jefferson Da Silva Novaes, Adriana Lemos, Roberto Simao",4,0,1,0,0,1,0,"NA",0,0.25,"Inter and intradays reproducibility of Power Control in test of muscle power",2006,"Revista Brasileira De Medicina Do Esporte",1,"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922006000500006","Journal","10.1590/S1517-86922006000500006",
0,"R1750","Stephen Strain, Jennifer Keegan, Claire E Raphael, Robin Simpson, Malindie Sugathapala, Sanjay K Prasad, David N Firmin",7,1,3,0,1,1,1,"NA",0,0.5,"Inter breath-hold reproducibility of temporal patterns of coronary artery blood flow",2015,"Journal of Cardiovascular Magnetic Resonance",1,"https://link.springer.com/article/10.1186/1532-429X-17-S1-M1","Journal","10.1186/1532-429X-17-S1-M1",
3,"R1857","Christa Van Stuivenberg, Fred A De Laat, Reinoud Meijer, Annet Van Kuijk",4,1,2,1,0,"NA",1,"NA",1,0.6666666667,"Inter- and intra-observer reproducibility and validity of an indirect volume measurement in transtibial amputees.",2010,"Prosthetics and Orthotics International",1,"http://repository.ubn.ru.nl/handle/2066/87995","Journal","10.3109/03093640902929285",
0,"R2827","Atsutaka Okizaki, Michihiro Nakayama, Kaori Nakajima, Takayuki Katayama, Takahiro Uno, Fumiyoshi Morikawa, Juichiro Naoe, Koji Takahashi",8,4,1,"NA","NA",1,0,0,0,0.25,"Inter- and intra-observer reproducibility of quantitative analysis for FP-CIT SPECT in patients with DLB",2017,"Annals of Nuclear Medicine",1,"https://link.springer.com/article/10.1007/s12149-017-1209-9","Journal","10.1007/s12149-017-1209-9",
0,"R1837","Donagh P Berry, Aine O Brien, Eamonn Wall, Kevin Mcdermott, Shane Randles, Paul Flynn, Stephen D E Park, Jenny Grose, Rebecca Weld, N Mchugh",10,2,3,"NA",1,0,0,0,"NA",0.375,"Inter- and intra-reproducibility of genotypes from sheep technical replicates on Illumina and Affymetrix platforms.",2016,"Genetics Selection Evolution",1,"https://gsejournal.biomedcentral.com/articles/10.1186/s12711-016-0267-0","Journal","10.1186/s12711-016-0267-0",
5,"R1931","Vittorio Palmieri, Emma Arezzi, Salvatore Pezzullo, Maria Sabatella, Aldo Celentano",5,0,2,0,1,0,1,0,0,0.4,"Inter- and intra-study reproducibility of contrast echocardiography for assessment of interventricular septal wall perfusion rate in humans",2004,"European Journal of Echocardiography",1,"https://academic.oup.com/ehjcimaging/article/5/5/367/2397713/Inter-and-intra-study-reproducibility-of-contrast","Journal","10.1016/j.euje.2004.01.008",
0,"R2004","Chris B Lawton, Cornelius Imobeke, Elisa Mcalindon, Jessica M Harris, Chiara Bucciarelliducci",5,0,3,0,0,1,1,1,1,0.6,"Inter- and intra-study reproducibility of LV volume analysis performed by technologists",2012,"Journal of Cardiovascular Magnetic Resonance",1,"http://paperity.org/p/56588352/inter-and-intra-study-reproducibility-of-lv-volume-analysis-performed-by-technologists","Journal","10.1186/1532-429X-14-S1-T11",
0,"R1874","A Lee, J A Johnson, Ximing J Yang, Mylin A Torres, Walter J Curran, T Liu",6,5,0,"NA","NA","NA","NA",0,"NA",0,"Inter- and Intraoperator Reproducibility of Cutaneous Toxicity Measurements Using Quantitative Ultrasound",2014,"International Journal of Radiation Oncology Biology Physics",1,"http://linkinghub.elsevier.com/retrieve/pii/S0360301614015697","Journal","10.1016/j.ijrobp.2014.05.918",
0,"R2545","Alice Chandra Verticchio Vercellin, Carlo Alberto Cutolo, Carolina Dellafiore, Massimiliano Lava, Carmine Tinelli, Annalisa De Silvestri, Fabrizio Calliada, Giovanni Milano",8,1,3,1,0,1,"NA",0,0,0.4285714286,"Inter-device reproducibility of retrobulbar blood flow velocity measurements in healthy subjects using color Doppler imaging.",2016,"Journal of Ultrasound",1,"https://link.springer.com/article/10.1007/s40477-017-0255-4","Journal","10.1007/s40477-016-0194-5",
0,"R3996","E Z Blumenthal, S Frenkel",2,2,"NA","NA","NA","NA","NA","NA","NA","NA","Inter-Device Reproducibility of the Scanning Laser Polarimeter with Variable Cornea Compensation",2003,"Investigative Ophthalmology & Visual Science",1,"http://iovs.arvojournals.org/article.aspx?articleid=2415192","Journal",,
1,"R1908","Manuel Rodriguezvallejo, Juan A Monsoriu, Walter D Furlan",3,0,0,0,0,0,"NA","NA",0,0,"Inter-Display Reproducibility of Contrast Sensitivity Measurement with iPad.",2016,"Optometry and Vision Science",1,"http://www.ncbi.nlm.nih.gov/pubmed/27560848","Journal","10.1097/OPX.0000000000000972",
10,"R1297","Mikkel Vind, Soren Bie Bogh, Camilla Marie Larsen, Hans Kromann Knudsen, Karen Sogaard, Birgit Juulkristensen",6,0,3,0,0,1,0,1,1,0.5,"Inter-examiner reproducibility of clinical tests and criteria used to identify subacromial impingement syndrome",2011,"BMJ Open",1,"http://bmjopen.bmj.com/content/1/1/e000042","Journal","10.1136/bmjopen-2010-000042",
9,"R1056","A Mandalos, Eleftherios Anastasopoulos, L Makris, N Dervenis, Kilintzis, Fotis Topouzis",6,4,0,"NA",0,"NA","NA","NA",0,0,"Inter-examiner reproducibility of Ocular Response Analyzer using the waveform score quality index in healthy subjects.",2013,"Journal of Glaucoma",1,"https://www.ncbi.nlm.nih.gov/pubmed/21946542","Journal","10.1097/IJG.0b013e318227e63e1",
24,"R470","Flemming Enoch, Per Kjaer, Arne Elkjaer, Lars Remvig, Birgit Juulkristensen",5,0,1,0,0,0,0,1,1,0.2,"Inter-examiner reproducibility of tests for lumbar motor control",2011,"BMC Musculoskeletal Disorders",1,"https://bmcmusculoskeletdisord.biomedcentral.com/articles/10.1186/1471-2474-12-114","Journal","10.1186/1471-2474-12-114",
2,"R2674","M A Bakhtadze, Jacob Patijn, V N Galaguza, D A Bolotov, A A Popov",5,4,0,"NA",0,"NA","NA","NA","NA",0,"Inter-examiner reproducibility of the segmental motion palpation springing test for side bending at level C2–C3",2011,"International Musculoskeletal Medicine",1,"http://www.tandfonline.com/doi/full/10.1179/1753615411Y.0000000001?scroll=top&needAccess=true","Journal","10.1179/1753615411Y.0000000001",
16,"R518","Andrew J Percy, Jessica Tamurawells, Juan Pablo Albar, Kerman Aloria, Ardeshir Amirkhani, Gabriel D T Araujo, Jesus M Arizmendi, Francisco J Blanco, Francesc Canals, Jin Young Cho, Nuria Colomecalls, Fernando J Corrales, Gilberto B Domont, Guadalupe Espadas, Patricia Fernandezpuente, Concha Gil, Paul A Haynes, Maria Luisa Hernaez, Jin Young Kim, Arthur T Kopylov, Miguel Marcilla, Mathew J Mckay, Mehdi Mirzaei, Mark P Molloy, Leanne B Ohlund, Youngki Paik, Alberto Paradela, Mark J Raftery, Eduard Sabido, Lekha Sleno, Daniel Wilffert, Justina C Wolters, Jong Shin Yoo, Victor G Zgoda, Carol E Parker, Christoph H Borchers",36,3,10,0,1,0,0,"NA",0,0.303030303,"Inter-laboratory evaluation of instrument platforms and experimental workflows for quantitative accuracy and reproducibility assessment",2015,"Eupa Open Proteomics",1,"https://www.sciencedirect.com/science/article/pii/S2212968515300039","Journal","10.1016/j.euprot.2015.06.001",
16,"R564","G Kampf, C Ostermeyer",2,2,"NA","NA","NA","NA","NA","NA","NA","NA","Inter-laboratory reproducibility of the hand disinfection reference procedure of EN 1500.",2003,"Journal of Hospital Infection",1,"https://www.sciencedirect.com/science/article/pii/S0195670102913575#!","Journal","10.1053/jhin.2002.1357",
13,"R962","Alexandre Servat, A Labadie, A Hamen, F Boue, Florence Cliquet",5,3,1,0,"NA","NA","NA",1,1,0.5,"Inter-laboratory trial to evaluate the reproducibility of a new ELISA to detect rabies antibodies in vaccinated domestic and wild carnivores.",2008,"Biologicals",1,"https://www.sciencedirect.com/science/article/pii/S104510560700053X","Journal","10.1016/j.biologicals.2007.04.003",
31,"R473","I A Malek, B Machani, A M Mevcha, N H Hyder",4,4,"NA","NA","NA","NA","NA","NA","NA","NA","Inter-observer reliability and intra-observer reproducibility of the Weber classification of ankle fractures.",2006,"Journal of Bone and Joint Surgery-british Volume",1,"http://bjj.boneandjoint.org.uk/content/88-B/9/1204","Journal","10.1302/0301-620X.88B9.17954",
0,"R3824","Liang Wenqin",1,1,"NA","NA","NA","NA","NA","NA","NA","NA","Inter-observer reliability and intra-observer reproducibility of three different classification systems for tibial plateau fractures",2013,"Chinese Journal of Bone and Joint Injury",1,"http://en.cnki.com.cn/Article_en/CJFDTOTAL-GGJS201304013.htm","Journal",,
13,"R672","Marianne Tondeur, Diego De Palma, Isabel Roca, Amy Piepsz, Hamphrey Ham",5,1,3,1,0,1,1,"NA","NA",0.75,"Inter-observer reproducibility in reporting on renal drainage in children with hydronephrosis: a large collaborative study",2008,"European Journal of Nuclear Medicine and Molecular Imaging",1,"https://link.springer.com/article/10.1007/s00259-007-0641-9","Journal","10.1007/s00259-007-0641-9",
3,"R2303","M De Seze, T Randriaminahisoa, A Gaunelle, G De Korvin, J M Mazaux",5,3,2,1,"NA","NA",1,"NA","NA",1,"Inter-observer reproducibility of back surface topography parameters allowing assessment of scoliotic thoracic gibbosity and comparison with two standard postures.",2013,"Annals of Physical and Rehabilitation Medicine",1,"https://www.sciencedirect.com/science/article/pii/S1877065713013109","Journal","10.1016/j.rehab.2013.10.003",
0,"R2896","C Rospigliosi Lopez, Alon Harris, Brent Siesky, I Benzion, Daniel B Moore, Rita Ehrlich, Larry Kagemann",7,2,1,"NA",0,0,"NA",0,0,0.2,"Inter-Observer Reproducibility of Heidelberg Retinal Flowmetry Utilizing Pixel by Pixel Analysis: Reading Center Analysis",2008,"Investigative Ophthalmology & Visual Science",1,"http://iovs.arvojournals.org/article.aspx?articleid=2379985","Journal",,
84,"R226","Andrea F De Winter, Monique A M B Heemskerk, Caroline B Terwee, Marielle P Jans, W Deville, Dirkjan Van Schaardenburg, Rob J P M Scholten, L M Bouter",8,2,4,1,1,1,1,"NA","NA",0.6666666667,"Inter-observer reproducibility of measurements of range of motion in patients with shoulder pain using a digital inclinometer",2004,"BMC Musculoskeletal Disorders",1,"https://bmcmusculoskeletdisord.biomedcentral.com/articles/10.1186/1471-2474-5-18","Journal","10.1186/1471-2474-5-18",
11,"R1830","Marianne Tondeur, K Melis, De Sadeleer C, J Verelst, Van Espen Mb, Hamphrey Ham, Amy Piepsz",7,3,3,1,"NA",1,"NA",0,1,0.75,"Inter-observer reproducibility of relative 99Tcm-DMSA uptake.",2000,"Nuclear Medicine Communications",1,"http://www.ncbi.nlm.nih.gov/pubmed/10874702","Journal","10.1097/00006231-200005000-00007",
