Tag,PaperId,AuthorIdsOrder,AuthorNamesOrder,authorCount,unknownCount,femaleCount,femaleProp,1st,2nd,3rd,4th,5th,last,FoSNames,Year,DocType,Journal,Publisher,Doi,Title,EstimatedCitation,IndexedAbstract,WoSID,WoSjournal,jfraction,subd_name,disc_name
OpenScience,2044853018,2310898344; 2125104115,Wayne Joubert; Shi-Quan Su,2,1,0,0.0,0.0,,,,,,open science; supercomputer; jaguar; oak ridge national laboratory; parallel computing; computational science; workload; computer science; petascale computing; cray xt5; top500,2012,Conference,,ACM,10.1145/2304576.2304611,An analysis of computational workloads for the ORNL Jaguar system,6,"This study presents an analysis of science application workloads for the Jaguar Cray XT5 system during its tenure as a 2.3 petaflop supercomputer at Oak Ridge National Laboratory. Jaguar was the first petascale system to be deployed for open science and has been one of the world's top three supercomputers for six releases of the TOP500 list. Its workload is investigated here as a representative of the growing worldwide install base of petascale systems and also as a foreshadowing of science workloads to be expected for future systems. The study considers characteristics of the Jaguar workload such as resource utilization, typical job characteristics, most heavily used applications, application scaling and application usage patterns. Implications of these findings are considered for current petascale workflows and for exascale systems to be deployed later this decade.",,,,,
Reproducibility,2770305635,2232520179; 2521923947; 2581183313; 1981416140,Peter Ivie; Charles Zheng; K. Lannon; Douglas Thain,4,1,0,0.0,0.0,0.0,,0.0,,0.0,software; reproducibility; computer science; reliability engineering; determinism,2017,Journal,,,10.1088/1742-6596/898/10/102007,An analysis of reproducibility and non-determinism in HEP software and ROOT data,0,,,,,,
Reproducibility,2129897728,2105477126; 344057978; 2513024422; 2167976657,Rejane Bezerra de Lima; Ângela Cristina Pinto de Paiva; Arthur Costa Rodrigues Farias; Kenio Costa de Lima,4,1,1,0.3333333333333333,,1.0,0.0,0.0,,0.0,dentistry; reproducibility; wilcoxon signed rank test; medicine; psychiatry; indexation; statistics,2010,Journal,Ciencia & Saude Coletiva,ABRASCO - Associação Brasileira de Saúde Coletiva,10.1590/S1413-81232010000300021,An analysis of reproducibility of DAI and IOTN indexes in a brazilian scene,6,"The aim of this study was to evaluate the ability of the indexes DAI and IOTN in predicting the need of orthodontic treatment based in one property: reproducibility. The index DAI was developed in USA in 1989 and can identify 10 occlusal alterations that result, mathematically, in scores, with weights based in its relative importance according with the judgment of laypeople. The IOTN was developed in England also in 1989 and incorporates an aesthetic component AC and a component of dental health DHC. The AC component consists on a scale illustrated with 10 photos which had been divided in bands of degrees in accordance with a hierarchic scale and classifies the patients in degrees of treatment needed. The instruments of collection of the data were: plastic rule of DHC component and an aesthetic visual scale of component AC praised for the IOTN and one periodontal OMS probe praised for DAI. The sample was composite by 60 patients. The results indicated that both indexes were highly reproducible in accordance with Pearson and Spearman coefficients, which were strengthened by t-tests of Student and Wilcoxon, respectively. The correlation results between the examiners had varied between r=0.85 and r=1.00.",,,1.0,Nursing Education,Health Professionals
Reproducibility,2322698129,2675723981; 2444691961; 2420466070; 2626776642; 2656598055; 2569145178; 2340294667,H. Grössing; D. Becker; S. Kaufmann; R. Schledjewski; P. Mitschang; Christian Doppler; Otto Glöckl-Straße,7,5,0,0.0,,,,,,0.0,permeability; grammage; reproducibility; capacitive sensing; permeameter; materials science; carbon; composite material; glass fiber,2015,Journal,Express Polymer Letters,,10.3144/expresspolymlett.2015.14,An evaluation of the reproducibility of capacitive sensor based in-plane permeability measurements: A benchmarking study,9,"A benchmark study for permeability measurement is presented. In the past studies of other research groups which focused on the reproducibility of 1D-permeability measurements showed high standard deviations of the gained permeabil- ity values (25%), even though a defined test rig with required specifications was used. Within this study, the reproducibility of capacitive in-plane permeability testing system measurements was benchmarked by comparing results of two research sites using this technology. The reproducibility was compared by using a glass fibre woven textile and carbon fibre non crimped fabric (NCF). These two material types were taken into consideration due to the different electrical properties of glass and carbon with respect to dielectric capacitive sensors of the permeability measurement systems. In order to deter- mine the unsaturated permeability characteristics as function of fibre volume content the measurements were executed at three different fibre volume contents including five repetitions. It was found that the stability and reproducibility of the pre- sented in-plane permeability measurement system is very good in the case of the glass fibre woven textiles. This is true for the comparison of the repetition measurements as well as for the comparison between the two different permeameters. These positive results were confirmed by a comparison to permeability values of the same textile gained with an older gen- eration permeameter applying the same measurement technology. Also it was shown, that a correct determination of the grammage and the material density are crucial for correct correlation of measured permeability values and fibre volume contents.",WOS:000345863300006,express polymer letters,1.0,Composites,"Chemical, Mechanical, & Civil Engineering"
Reproducibility,1984745771,2108446714; 2314259445; 2651711843; 2175564711,Manish Suresh Agrawal; Jiwan Asha Manish Agrawal; Vivek Patni; Lalita Girish Nanjannawar,4,0,2,0.5,0.0,1.0,0.0,1.0,,1.0,statistics; cephalometric analysis; student s t test; reliability; statistical significance; digitization; medicine; standard deviation; ruler; reproducibility,2015,Journal,APOS Trends in Orthodontics,Medknow Publications,10.4103/2321-1407.155834,An evaluation of the reproducibility of landmark identification in traditional versus computer-assisted digital cephalometric analysis system,0,"Objective: To determine the reliability of Computer Assisted Digital Cephalometric Analysis System (CADCAS) in terms of landmark identification on the values of cephalometric measurements in comparison with those obtained from original radiographs. Materials and Methods: The study material consisted of Twenty five lateral cephalograms selected randomly, 16 cephalometric points together with 10 angular and 5 linear cephalometric measurements. The landmarks were manually picked on the tracing & the measurements of X &Y axis done with reference grid. The same tracing was digitized & image loaded in the software (ViewBox 3.1.1) was checked for the magnification (metal ruler) & distortion. The second part of the study compared manual and the CADCAS since the landmarks were manually digitized on screen as against the manually picked ones on the tracing paper. The x and y-coordinates for 16 landmarks were measured, mean and standard deviation calculated, linear and angular measurements compared. Statistical Analysis: A paired t-test was done to calculate the statistical significance of the differences. Intraclass reliability coefficient (signifying reproducibility) of the variable was recorded. The observations were tabulated and analysis was done using the paired t test at a P value Results: Out of 47 variables looked for, 21 showed statistical significance. Direct digitization onscreen (CADCAS) was the quickest and least tedious method. CADCAS was unreliable with linear measurements involving bilateral structures such as Gonion & Articulare. Conclusions: Both the methods are equally reliable and reproducible. The intra- class reliability coefficient of all variables differed only slightly, which is not clinically significant.",,,,,
Reproducibility,2517134243,2321564912; 1978101291; 2098810395; 323107258; 1915802602; 1986706168,David Becker; Harald Grössing; Spiridon Konstantopoulos; Ewald Fauster; Peter Mitschang; Ralf Schledjewski,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,analytical chemistry; permeability; reproducibility; materials science; benchmarking; ultrasonic sensor; composite material,2016,Journal,,Taylor & Francis,10.1080/20550340.2016.1182783,An evaluation of the reproducibility of ultrasonic sensor-based out-of-plane permeability measurements: a benchmarking study,0,"AbstractResearch concerning the measurement of the permeability of fabrics for polymer matrix composites has been ongoing since several decades, but remains in the focus of applied research for liquid composite molding. Today, several systems and technologies for the measurement of in- and out-of-plane permeability are available, but still no approach has gained acceptance as a common standard. A main requirement for reliable permeability measurement technology is the reproducibility of results when comparing different characterization systems. In this context, benchmark studies are an appropriate method to evaluate the reproducibility of a technology. This study presents a benchmark on unsaturated out-of-plane permeability measurement systems based on flow front monitoring via ultrasonic sensors. Two corresponding systems are compared in the study comprising carbon and glass wovens as well as non-crimp fabrics. The out-of-plane permeability was measured with both systems at three different levels of fibe...",WOS:000408466400004,advanced manufacturing-polymer & composites science,,,
OpenScience,2554394386,207549156; 2154089976; 2056149527,Marangaze Munhepe Mulhanga; Solange Rito Lima; Venancio Massingue,3,1,1,0.5,,1.0,0.0,,,0.0,environmental resource management; knowledge sharing; developing country; software deployment; information system; knowledge management; engineering; open science; multitude; developed country,2016,Conference,,IEEE,10.1109/RoEduNet.2016.7753211,An evolutive model for open science in mozambique,0,"Technological platforms and infrastructures for managing science have been under debate worldwide, being well-grounded and widely deployed concepts in developed countries. Although the emerging interest of developing countries in these topics is evident, much work has to be done to promote the national scientific production and the availability of scientific contents without restrictions. As a vehicle for knowledge sharing, National Research and Education Networks (NRENs) play a key role in science growth and Open Access (OA) deployment. In addition, the Current Research Information System (CRIS) has emerged as an embracing paradigm for managing the multitude of science components and players. Instantiating these concepts and directives in the science ecosystems of developing countries will allow to save years of progress, bringing these countries directly into a high-level regarding science management. In this context, taking Mozambique as a case study, this work discusses the problematic of science growth in developing countries and identifies hurdles and strategies for building OA repositories supported by the Mozambican NREN MoRENet, and for implementing technological platforms for managing science. The evaluative open science service model here proposed, aiming at empowering the evolution of knowledge in Mozambique, is sustained by the study of international directives regarding NRENs and OA, CRIS trends, and the Mozambican science and education ecosystem.",,,,,
Reproducibility,2546913983,657365662; 2510441258; 2505956304,Kei Miyanoue; Mio Suzuki; Tetsuo Yai,3,1,1,0.5,0.0,1.0,,,,,embedded system; engineering; simulation; reproducibility; cycling,2016,Journal,Ergonomics,一般社団法人 日本人間工学会,10.5100/jje.52.81,An Examination of Reproducibility of Steering and Running Speed on Cycling Simulator,0,,,,1.0,User Interface Design,Electrical Engineering & Computer Science
Reproducibility,2160366606,739620462; 2685965945; 2665988002; 1994259704; 2136983665,Hania A. Al-Hallaq; D. Modgil; E. Gerry; S.J. Chmura; Yasmin Hasan,5,4,1,1.0,,,,,1.0,1.0,radiology; reproducibility; medical physics; medicine,2012,Journal,International Journal of Radiation Oncology Biology Physics,Elsevier,10.1016/j.ijrobp.2012.07.1942,An Image Guided Study of Setup Reproducibility of Chest Wall Patients Treated With Inverse-Planned IMRT,0,,,,1.0,Radiation Therapy,Medical Specialties
Reproducibility,2344064107,2609512010,Michael Rosenblatt,1,0,0,0.0,0.0,,,,,0.0,incentive; management science; biology; reproducibility; realm; immunology,2016,Journal,Science Translational Medicine,American Association for the Advancement of Science,10.1126/scitranslmed.aaf5003,An incentive-based approach for improving data reproducibility,13,"Over the past several years, a series of publications and policy statements have generated increasing awareness in the scientific community of the scale and implications of the problem of irreproducible data—or at least lack of robust results—particularly in the realm of basic and translational",WOS:000374833500001,science translational medicine,1.0,Gene Therapy,Infectious Diseases
Reproducibility,2593100451,2173814221; 2156839292; 2156125375; 2712995091; 2336773643; 2583355798; 2370593739; 2479397488; 2341259454; 2134909729,Mengchen Yin; Jianru Xiao; Quan Huang; Zhengwang Sun; Xin Gao; Guanghui Chen; Shaohui He; Ye Xia; Junming Ma; Wen Mo,10,7,0,0.0,,,0.0,,,0.0,pathology; medicine; reproducibility; dumbbell,2017,Journal,Medicine,,10.1097/MD.0000000000006183,An independent evaluation on the interobserver reliability and intraobserver reproducibility of Toyama classification system for cervical dumbbell tumors,0,,,,1.0,Rheumatology,Medical Specialties
Reproducibility,2314927211,2127099240; 1121136751; 2140052673; 192574072,Chiara Dalla Man; Gianluigi Pillonetto; Michela Riz; Claudio Cobelli,4,1,2,0.6666666666666666,1.0,,1.0,0.0,,0.0,diabetes mellitus; estimation theory; statistics; reproducibility; responsivity; biology; insulin; multiple comparisons problem; minimal models; uncertainty theory,2015,Journal,American Journal of Physiology-endocrinology and Metabolism,American Physiological Society,10.1152/ajpendo.00350.2014,An index of parameter reproducibility accounting for estimation uncertainty: theory and case study on β-cell responsivity and insulin sensitivity.,1,"Parameter reproducibility is necessary to perform longitudinal studies where parameters are assessed to monitor disease progression or effect of therapy, but are also useful in powering the study, i.e. to define how many subjects should be studied to observe a given effect. The assessment of parameter reproducibility is usually accomplished by methods which do not take into account the fact that these parameters are estimated with uncertainty. This is particularly relevant in physiological and clinical studies where usually reproducibility cannot be assessed by multiple testing and is usually assessed from a single replication of the test. Working in a suitable stochastic framework, here we propose a new index (S) to measure reproducibility which takes into account parameter uncertainty and is particularly suited to handle the normal testing conditions of physiological and clinical investigations. Simulation results prove that S, by properly taking into account parameter uncertainty, is more accurate and robust than the methods available in the literature. The new metric is applied to assess reproducibility of insulin sensitivity and beta-cell responsivity of a mixed meal tolerance test from data obtained in the same subjects retested a week apart. Results show that the indices of insulin sensitivity and beta-cell responsivity to glucose are well reproducible. We conclude that the oral minimal models provide useful indices which can safely be used in prospective studies or to assess the efficacy of a given therapy.",WOS:000356256100005,american journal of physiology-endocrinology and metabolism,1.0,Diabetes Metabolism,Medical Specialties
Reproducibility,2087842762,296682519; 2131771242; 2677061321; 2755571589; 2579143851; 2755940621; 2676664788; 2637873511; 2755523902; 2239141633; 2755266430; 2675689419,Laura Gribaldo; Maurice Whelan; N. Skinner; A. Bennett; D. Scott; A. Devonshire; Y. Adeleye; M. Sacco; M. Schutte; R. Rodrigues; T. Wilkes; M. Fabbri,12,10,1,0.5,1.0,0.0,,,,,medicinal chemistry; toxicology; toxicogenomics; biology; reproducibility,2010,Journal,Toxicology Letters,,10.1016/j.toxlet.2010.03.518,An interlaboratory study to evaluate the reproducibility of toxicogenomics datasets,0,,WOS:000208471300461,toxicology letters,1.0,Toxicology Applied Pharmacology,Medical Specialties
Reproducibility,2085422756,2144466263; 1919837158; 2264526269; 2273874396; 2082539852; 2075562679; 2751683996; 2185277394; 2080142744; 2095684620,Torsten O. Nielsen; Mitch Dowsett; M-Yc Polley; Scy Leung; Mauro G. Mastropasqua; Lila Zabaglo; Jms Bartlett; Giuseppe Viale; Lisa M. McShane; Daniel F. Hayes,10,3,2,0.2857142857142857,0.0,0.0,,,0.0,0.0,immunology; reproducibility; medicine; pathology,2012,Journal,Cancer Research,American Association for Cancer Research,10.1158/0008-5472.SABCS12-S4-6,An international Ki67 reproducibility study,5,,WOS:000209704900020,cancer research,1.0,Clinical Cancer Research,Medical Specialties
OpenScience,2751108919,2156181505; 2051147632; 2026416190; 204361474; 2785362203; 2619421655; 2697461952; 2762617834; 1358494281; 2053137549; 1433102634; 2753643170,James Galipeau; Peter Tugwell; Margaret A. Winker; David Moher; Kelly D. Cobey; Virginia Barbour; Patricia Baskin; Sally Bell-Syer; Jonathan J Deeks; Paul Garner; Larissa Shamseer; Straus Sharon,12,1,6,0.5454545454545454,0.0,0.0,1.0,0.0,1.0,,open science; applied psychology; alternative medicine; curriculum; delphi method; open data; publishing; medicine; competence; core competency,2017,Journal,F1000Research,Faculty of 1000 Ltd.,10.12688/f1000research.12400.1,"An international survey and modified Delphi process revealed editors’ perceptions, training needs, and ratings of competency-related statements for the development of core competencies for scientific editors of biomedical journals",1,"Background: Scientific editors (i.e., those who make decisions on the content and policies of a journal) have a central role in the editorial process at biomedical journals. However, very little is known about the training needs of these editors or what competencies are required to perform effectively in this role.

Methods: We conducted a survey of perceptions and training needs among scientific editors from major editorial organizations around the world, followed by a modified Delphi process in which we invited the same scientific editors to rate the importance of competency-related statements obtained from a previous scoping review.

Results: A total of 148 participants completed the survey of perceptions and training needs. At least 80% of participants agreed on six of the 38 skill and expertise-related statements presented to them as being important or very important to their role as scientific editors. At least 80% agreed on three of the 38 statements as necessary skills they perceived themselves as possessing (well or very well). The top five items on participants’ list of top training needs were training in statistics, research methods, publication ethics, recruiting and dealing with peer reviewers, and indexing of journals. The three rounds of the Delphi were completed by 83, 83, and 73 participants, respectively, which ultimately produced a list of 23 “highly rated” competency-related statements and another 86 “included” items.

Conclusion: Both the survey and the modified Delphi process will be critical for understanding knowledge and training gaps among scientific editors when designing curriculum around core competencies in the future.",,,,,
Reproducibility,2322824593,2020294185; 2158185054; 2107850261; 2562100784; 2117345063,Ruohong Shui; Baohua Yu; Rui Bi; Fei Yang; Wentao Yang,5,4,0,0.0,,,0.0,,,,breast cancer; pathology; medicine; reproducibility,2016,Journal,Pathology,Pathology,10.1016/j.pathol.2015.12.425,An interobserver reproducibility analysis of ki67 visual assessment in breast cancer,0,,,,1.0,Pathology,Medical Specialties
Reproducibility,2782878556,2127718121; 2182057958; 2239333533,Roland Clarke; Chong Li; Nick Ridler,3,0,0,0.0,0.0,0.0,0.0,,,0.0,engineering; reproducibility; calibration; dispersion; wafer; repeatability; electronic engineering; extremely high frequency,2017,Conference,,,10.1109/ARFTG.2017.8255866,An intra-laboratory investigation of on-wafer measurement reproducibility at millimeter-wave frequencies,0,"Understanding the relative contribution of contact repeatability and overall reproducibility for on-wafer measurements provides useful insight into the significance of measurement comparisons. We report on an intra-laboratory investigation into contact repeatability and the variation that may be anticipated when measurements are reproduced in different laboratories using different equipment. We pay particular attention to the dispersion in measurement results arising from the use of on-wafer and off-wafer calibration. Experimental results are reported for measurements in the frequency range 140 GHz to 220 GHz, together with preliminary estimates of the repeatability limits for this type of measurement.",,,,,
Reproducibility,2300004543,2309119913; 1981271875; 2008592560; 2112175316,Debajyoti Bhaduri; Pavel Penchev; Stefan Simeonov Dimov; Sein Leung Soo,4,2,0,0.0,,0.0,0.0,,,,engineering; machining; surface micromachining; repeatability; electronic engineering; calibration; manufacturing engineering; laser; reproducibility,2016,Journal,Measurement,Elsevier,10.1016/j.measurement.2016.03.033,"An investigation of accuracy, repeatability and reproducibility of laser micromachining systems",1,"Abstract Component technologies of laser micro machining systems are key factors affecting their overall performance. The effects of these technologies on accuracy, repeatability and reproducibility (ARR) in different implementations of such systems have to be investigated to quantify their contributions to the overall processing uncertainty, especially those with the highest impact on beam delivery sub-systems. The aim of this research was to evaluate the capabilities of state-of-the-art machining platforms that were specially designed and implemented for laser micro structuring and texturing. An empirical comparative study was conducted to quantify the effects of key component technologies on ARR of four state-of-the-art systems. In particular, the capabilities of the optical and mechanical axes were investigated when they were utilised separately or in combination for precision laser machining. Conclusions are made about the positional accuracy of the mechanical and optical axes and the importance of their proper calibration on the systems’ overall performance is discussed. It is shown that the laser machining platforms can achieve repeatability and reproducibility better than 2 μm and 6 μm, respectively.",WOS:000376463100027,measurement,1.0,Instrumentation,Electrical Engineering & Computer Science
Reproducibility,2142491263,2073926749,David L. Donoho,1,0,0,0.0,0.0,,,,,0.0,biostatistics; computer science; reproducibility; applied mathematics; econometrics; alternative medicine,2010,Journal,Biostatistics,Oxford University Press,10.1093/biostatistics/kxq028,An invitation to reproducible computational research.,95,"1. I NTRODUCTION I am genuinely thrilled to see Biostatistics make a formal venture into computational reproducibility, and I congratulate the editors of Biostatistics on taking this much needed step. I find the policies being adopted by Biostatistics eminently practical, and I hope that many authors will begin using this option. In my comments, I will try to explain how I came to believe in the importance of reproducibility and why I think others may find it in their interest and in the community interest. I will then briefly mention some efforts in other disciplines.",WOS:000278689300006,biostatistics,1.0,BioStatistics,Social Sciences
OpenScience,2562410878,2211934058; 2564228928; 2777777443; 2122310831,John M. Hancock; Alf Game; Chris P. Ponting; Carole A. Goble,4,0,1,0.25,0.0,0.0,0.0,1.0,,1.0,alternative medicine; open science; computer network; elixir; open data; medicine,2016,Journal,F1000Research,F1000 Research Ltd.,10.12688/f1000research.10473.2,An open and transparent process to select ELIXIR Node Services as implemented by ELIXIR-UK,1,,,,,,
OpenScience,1973576398,705885879; 2114464965; 2267980870,Amye Kenall; Simon Harold; Christopher Foote,3,0,1,0.3333333333333333,1.0,0.0,0.0,,,0.0,information dissemination; open science; data sharing; biology; open data; ecology and evolutionary biology; ecology,2014,Journal,BMC Ecology,BioMed Central,10.1186/1472-6785-14-10,An open future for ecological and evolutionary data,11,"As part of BioMed Central’s open science mission, we are pleased to announce that two of our journals have integrated with the open data repository Dryad. Authors submitting their research to either BMC Ecology or BMC Evolutionary Biology will now have the opportunity to deposit their data directly into the Dryad archive and will receive a permanent, citable link to their dataset. Although this does not affect any of our current data deposition policies at these journals, we hope to encourage a more widespread adoption of open data sharing in the fields of ecology and evolutionary biology by facilitating this process for our authors. We also take this opportunity to discuss some of the wider issues that may concern researchers when making their data openly available. Although we offer a number of positive examples from different fields of biology, we also recognise that reticence to data sharing still exists, and that change must be driven from within research communities in order to create future science that is fit for purpose in the digital age. This editorial was published jointly in both BMC Ecology and BMC Evolutionary Biology.",WOS:000334941000001,bmc ecology,,,
OpenScience,2473790124,2083694363; 2300890317; 1984674539; 2653884765; 2631080933; 1979908876; 2672283678; 117876849,Christian Willmes; Daniel Becker; Jan Verheul; Yasa Yener; Mirijam Zickel; Andreas Bolten; Olaf Bubenzer; Georg Bareth,8,2,1,0.16666666666666666,0.0,0.0,1.0,,,0.0,open data; distributed gis; enterprise gis; open science; data integration; data mining; computer science; geospatial analysis; spatial data infrastructure; am fm gis,2016,Journal,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Copernicus GmbH,10.5194/isprs-annals-III-2-159-2016,AN OPEN SCIENCE APPROACH TO GIS-BASED PALEOENVIRONMENT DATA,0,"Paleoenvironmental studies and according information (data) are abundantly published and available in the scientific record. However, GIS-based paleoenvironmental information and datasets are comparably rare. Here, we present an Open Science approach for creating GIS-based data and maps of paleoenvironments, and Open Access publishing them in a web based Spatial Data Infrastructure (SDI), for access by the archaeology and paleoenvironment communities. We introduce an approach to gather and create GIS datasets from published non-GIS based facts and information (data), such as analogous maps, textual information or figures in scientific publications. These collected and created geo-datasets and maps are then published, including a Digital Object Identifier (DOI) to facilitate scholarly reuse and citation of the data, in a web based Open Access Research Data Management Infrastructure. The geo-datasets are additionally published in an Open Geospatial Consortium (OGC) standards compliant SDI, and available for GIS integration via OGC Open Web Services (OWS).",,,,,
OpenScience,2144090797,2191844294; 2709499527; 2779049164; 2061691810; 1486133712; 2291158056; 2156533165; 2154572072; 1995262555; 2304148772; 2717735976; 2469223817; 1968380653; 241772991; 2331026821; 2131874983; 2163342400; 2583966270,Jelena Aleksic; Jean-Karim Hériché; Leo Lahti; Daniel MacLean; Michael Markie; Jenny Molloy; Maria Victoria Schneider; Camille Scott; Richard Smith-Unna; Bruno Vieira; Adrian Alexa; Teresa K. Attwood; Neil Chue Hong; Martin Dahlö; Robert Davey; Holger Dinkel; Konrad U. Förstner; Ivo Grigorov,18,1,5,0.29411764705882354,1.0,,0.0,0.0,0.0,0.0,open data; societal impact of nanotechnology; oath; rigour; scientific method; manifesto; open science; alternative medicine; medicine; management science; emerging technologies,2014,Journal,F1000Research,Faculty of 1000 Ltd,10.12688/f1000research.5686.2,An Open Science Peer Review Oath,9,"One of the foundations of the scientific method is to be able to reproduce experiments and corroborate the results of research that has been done before. However, with the increasing complexities of new technologies and techniques, coupled with the specialisation of experiments, reproducing research findings has become a growing challenge. Clearly, scientific methods must be conveyed succinctly, and with clarity and rigour, in order for research to be reproducible. Here, we propose steps to help increase the transparency of the scientific method and the reproducibility of research results: specifically, we introduce a peer-review oath and accompanying manifesto. These have been designed to offer guidelines to enable reviewers (with the minimum friction or bias) to follow and apply open science principles, and support the ideas of transparency, reproducibility and ultimately greater societal impact. Introducing the oath and manifesto at the stage of peer review will help to check that the research being published includes everything that other researchers would need to successfully repeat the work. Peer review is the lynchpin of the publishing system: encouraging the community to consciously (and conscientiously) uphold these principles should help to improve published papers, increase confidence in the reproducibility of the work and, ultimately, provide strategic benefits to authors and their institutions.",,,,,
Reproducibility,2138623936,267504025; 2191086151,Ozlem Senvar; Seniye Ümit Oktay Fırat,2,1,1,1.0,1.0,,,,,,observational error; engineering; measurement systems analysis; reliability engineering; anova gauge r r; system of measurement; reproducibility; repeatability,2010,Journal,International Journal of Metrology and Quality Engineering,EDP Sciences,10.1051/ijmqe/2010022,An overview of capability evaluation of Measurement Systems and Gauge Repeatability and Reproducibility Studies,4,"This study is an overview of the capability evaluation of measurement systems. Principally, the determination of capability of a measurement system is an important aspect of quality and process improvement initiatives. In practice, various methods are developed and used for determining measure- ment system capability. As a measurement tool, potential effectiveness of gauge should be considered and significant factors should be identified for that purpose. A set of procedures referred to as Measurement Systems Capability Studies are conducted for assessing capability of gauge, isolating sources of variabil- ity in the system, evaluating how much of total observed variability is due to gauge, and investigating two components of measurement error: repeatability and reproducibility of gauge. Gauge Repeatability & Reproducibility (Gauge R&R) Study tries to estimate repeatability and reproducibility components of measurement system variation with primary objective of assessing whether gauge is suitable for intended application or not. Measurement System Analysis (MSA) is a collection of statistical methods, which in- cludes Gauge R&R Study, for analysis of measurement system capability. In this study, detailed literature review of MSA, Gauge R&R and Measurement Systems Capability Studies, and general discussion of mis- classification probabilities that give useful, reliable information about measurement systems performance would be provided.",,,,,
OpenScience,2581991546,2167952064; 2021322682; 1552828415; 1985738176; 2121033258,Desmond J. Higham; Michael Batty; Luís M. A. Bettencourt; Danica Vukadinovic Greetham; Peter Grindrod,5,1,1,0.25,0.0,0.0,,1.0,0.0,0.0,data science; computer science; crowdsourcing; open science; interdisciplinarity; analytics,2017,Journal,Royal Society Open Science,The Royal Society,10.1098/rsos.161063,An overview of City Analytics,2,"We introduce the 14 articles in the Royal Society Open Science themed issue on City Analytics. To provide a high-level, strategic, overview, we summarize the topics addressed and the analytical tools deployed.We then give amore detailed account of the individual contributions. Our overall aims are (i) to highlight exciting advances in this emerging, interdisciplinary field, (ii) to encourage further activity and (iii) to emphasize the variety of new, public-domain, datasets that are available to researchers.",WOS:000394469300046,royal society open science,,,
OpenScience,2766944858,2158376818,R.S. Dawe,1,1,0,,,,,,,,medicine; open science; alternative medicine; open data; anesthesiology,2017,Journal,F1000Research,,10.12688/f1000research.10101.1,An overview of the cutaneous porphyrias,0,,,,,,
OpenScience,1975303279,2095279874; 2136549490; 738246931; 2054409585; 2423119866; 2130715224,Robert L. Grossman; Yunhong Gu; Joe Mambretti; Michal Sabala; Alexander S. Szalay; Kevin P. White,6,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,cloud computing; open science; architecture; data science; data mining; computer science,2010,Conference,,ACM,10.1145/1851476.1851533,An overview of the Open Science Data Cloud,24,"The Open Science Data Cloud is a distributed cloud based infrastructure for managing, analyzing, archiving and sharing scientific datasets. We introduce the Open Science Data Cloud, give an overview of its architecture, provide an update on its current status, and briefly describe some research areas of relevance.",,,,,
OpenScience,2778161995,2779060055; 2124725461,Zhaofeng Gao; Miles F. Wilkinson,2,1,0,0.0,,0.0,,,,0.0,coat; biology; open data; rna; open science; physiology,2017,Journal,F1000Research,,10.12688/f1000research.12704.1,An RNA decay factor wears a new coat: UPF3B modulates translation termination,0,,,,,,
Reproducibility,2064905349,2290542794; 106889580,Wellington P. Martins; Nick Raine-Fenning,2,0,0,0.0,0.0,0.0,,,,0.0,doppler effect; medicine; radiology; reproducibility,2010,Journal,Ultrasound in Obstetrics & Gynecology,"John Wiley & Sons, Ltd.",10.1002/uog.7757,Analysis and acquisition reproducibility of 3D power Doppler,29,,,,1.0,Prenatal Diagnostics,Medical Specialties
Reproducibility,2330714121,2328386046; 2327480091; 2326931933; 2314532476; 2333660247,王辉 Wang Hui; 周烽 Zhou Feng; 王丽萍 Wang Liping; 于杰 Yu Jie; 金春水 Jin Chunshui,5,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,physics; mount; metrology; optics; reproducibility,2013,Journal,Chinese Journal of Lasers,,10.3788/CJL201340.1208001,Analysis and Metrology of Reproducibility of High-Precision Optic Mount,0,,,,,,
Reproducibility,2086611610,2021041859; 223913159; 1910516307; 224279051; 273831600,Kamil Brzozowski; Martyna Wojtaszek-Nowicka; Joanna Lukowska; Mariusz Klencki; Dorota Słowińska-Klencka,5,0,3,0.6,0.0,1.0,1.0,0.0,1.0,1.0,materials science; reproducibility; radiology; repeatability; thyroid nodules,2014,Journal,,BioScientifica,10.1530/endoabs.35.P590,Analysis of factors affecting the repeatability and reproducibility of elastographic measurements of thyroid nodules,0,,,,,,
