AuthorIds,AuthorNames,AuthorOrders,AuthorPapers,FoSNames,FoSPaperCounts,FoSCiteCounts,DisplayName,NormalizedName,PaperId,Rank,Doi,DocType,JournalId,ConferenceInstanceId,OriginalTitle,Year,Date,Publisher,ReferenceCount,CitationCount,EstimatedCitation,URLs,IndexedAbstract,AuthorIdsOrder,AuthorNamesOrder
1971852440; 2727909943; 1972682459; 2086987877; 1970781481; 1957213110; 2692381839; 2272133122; 2711168698; 2120643991,Maria Livia Famiglietti; Hema Bye-A-Jee; Bernd Roechert; Michele Magrane; Sylvain Poux; Emmanuel Boutet; Cecilia N. Arighi; Zhiyong Lu; Chih-Hsuan Wei; Alex Bateman,9; 8; 10; 3; 1; 7; 2; 6; 5; 4,8; 5; 23; 29; 37; 17; 55; 87; 1; 159,sustainability; data mining; uniprot; text mining; open data; data curation; medicine; open science,234747; 945182; 1024; 171034; 7711; 1977; 24337520; 3499,1767249; 8292622; 55801; 796878; 26234; 13114; 212406322; 12541,F1000Research,f1000research,2583109918,20246,10.7490/f1000research.1113882.1,,2755217574.0,,On expert curation and sustainability: UniProtKB/Swiss-Prot as a case study,2016,2016-01-01T00:00:00.0000000,Cold Spring Harbor Laboratory,0,1,1,https://f1000research.com/slides/6-431; http://www.biorxiv.org/content/early/2016/12/14/094011; https://www.biorxiv.org/content/early/2016/12/14/094011,"Biological knowledgebases, such as UniProtKB/Swiss-Prot, constitute an essential component of daily scientific research by offering distilled, summarized, and computable knowledge extracted from the literature by expert curators. While knowledgebases play an increasingly important role in the scientific community, the question of their sustainability is raised due to the growth of biomedical literature. By using UniProtKB/Swiss-Prot as a case study, we address this question by using different literature triage approaches. With the assistance of the PubTator text-mining tool, we tagged more than 10,000 articles to assess the ratio of papers relevant for curation. We first show that curators read and evaluate many more papers than they curate, and that measuring the number of curated publications is insufficient to provide a complete picture. We show that a large fraction of published papers found in PubMed is not relevant for curation in UniProtKB/Swiss-Prot and demonstrate that, despite appearances, expert curation is sustainable.",1970781481; 1972682459; 2692381839; 2086987877; 2120643991; 2711168698; 2272133122; 1957213110; 2727909943; 1971852440,Sylvain Poux; Bernd Roechert; Cecilia N. Arighi; Michele Magrane; Alex Bateman; Chih-Hsuan Wei; Zhiyong Lu; Emmanuel Boutet; Hema Bye-A-Jee; Maria Livia Famiglietti
1951278505,James Sprinks,1,9,knowledge management; open data; open science; medicine; workflow; citizen science; alternative medicine,1024349; 7711; 3499; 24337520; 54347; 3490; 469961,6743109; 26234; 12541; 212406322; 374453; 24449; 2017161,F1000Research,f1000research,2234743924,21848,10.7490/f1000research.1097648.1,,2755217574.0,,Keeping Citizen Scientists Interested: The Importance of Task Workflow Design,2015,2015-03-03T00:00:00.0000000,,0,1,1,https://f1000research.com/slides/1097648,,1951278505,James Sprinks
1803236419; 2240927221; 2343285426; 2022841364; 2098532862,Barend Mons; Rob Hooft; Ruben Kok; Lars Eijssen; Chris T. Evelo,4; 5; 3; 1; 2,94; 6; 4; 33; 155,open data; knowledge management; alternative medicine; medicine; publishing; open science; text mining,7711; 1024349; 469961; 24337520; 272751; 3499; 171034,26234; 6743109; 2017161; 212406322; 471219; 12541; 796878,F1000Research,f1000research,2052515963,20531,10.12688/f1000research.6009.2,Journal,2755217574.0,,The Dutch Techcentre for Life Sciences: Enabling data-intensive life science research in the Netherlands,2015,2015-02-02T00:00:00.0000000,Faculty of 1000 Ltd,3,5,5,https://f1000research.com/articles/4-33/v2/pdf; https://www.narcis.nl/publication/RecordID/oai%3Acris.maastrichtuniversity.nl%3Apublications%2Fa56c9ba9-8b7a-4842-b7de-bd9af559ba2e; http://europepmc.org/articles/PMC4743138; https://cris.maastrichtuniversity.nl/portal/en/publications/the-dutch-techcentre-for-life-sciences-enabling-dataintensive-life-science-research-in-the-netherlands(a56c9ba9-8b7a-4842-b7de-bd9af559ba2e).html; https://ncbi.nlm.nih.gov/pubmed/26913186; https://f1000research.com/articles/4-33/v2,"We describe the Data programme of the Dutch Techcentre for Life Sciences (DTL, www.dtls.nl). DTL is a new national organisation in scientific research that facilitates life scientists with technologies and technological expertise in an era where new projects often are data-intensive, multi-disciplinary, and multi-site. It is run as a lean not-for-profit organisation with research organisations (both academic and industrial) as paying members. The small staff of the organisation undertakes a variety of tasks that are necessary to perform or support modern academic research, but that are not easily undertaken in a purely academic setting. DTL Data takes care of such tasks related to data stewardship, facilitating exchange of knowledge and expertise, and brokering access to e-infrastructure. DTL also represents the Netherlands in ELIXIR, the European infrastructure for life science data. The organisation is still being fine-tuned and this will continue over time, as it is crucial for this kind of organisation to adapt to a constantly changing environment. However, already being underway for several years, our experiences can benefit researchers in other fields or other countries setting up similar initiatives.",2022841364; 2098532862; 2343285426; 1803236419; 2240927221,Lars Eijssen; Chris T. Evelo; Ruben Kok; Barend Mons; Rob Hooft
2039453129; 2107437470; 2559056550; 2302916815; 2302308358; 2331259026; 2642691089; 1969102287; 2149603904; 2318166757; 2650951224,Selvamuthu Poongulali; Pachamuthu Balakrishnan; Ambrose Pradeep; Sunil S. Solomon; Shanmugam Saravanan; Jayaseelan Boobalan; Kailapuri Gangadharan Murugavel; Sathasivam Sivamalar; Suniti Solomon; Thongadi Ramesh Dinesha; Kkanthamani Kanthamani,7; 3; 8; 9; 11; 1; 6; 5; 10; 2; 4,35; 134; 9; 146; 85; 14; 3; 12; 217; 10; 1,open data; anesthesiology; intensive care medicine; open science; medicine; immunology,7711; 12674; 1365391; 3499; 24337520; 2811474,26234; 81034; 11274526; 12541; 212406322; 53315086,F1000Research,f1000research,2620009163,21395,10.7490/f1000research.1111634.1,,2755217574.0,,Prevalence and risk factors associated with immunological non-response in HIV-1 infected patients treated with NNRTI based first-line drugs in south India,2016,2016-04-05T00:00:00.0000000,,0,0,0,https://f1000research.com/posters/5-565,,2331259026; 2149603904; 2302308358; 2318166757; 2107437470; 2650951224; 1969102287; 2642691089; 2039453129; 2559056550; 2302916815,Jayaseelan Boobalan; Suniti Solomon; Shanmugam Saravanan; Thongadi Ramesh Dinesha; Pachamuthu Balakrishnan; Kkanthamani Kanthamani; Sathasivam Sivamalar; Kailapuri Gangadharan Murugavel; Selvamuthu Poongulali; Ambrose Pradeep; Sunil S. Solomon
1682540667; 2034495586,Nicolas Carayol; Jean-Michel Dalle,1; 2,50; 23,discipline; economics; reward system; macroeconomics; sociology of scientific knowledge; open science; graph theory; management science; stochastic process; scientific communication,46782; 3670442; 3473; 150875; 18980; 3499; 34858; 648636; 83491; 8833,411037; 37840258; 133819; 2044912; 215018; 12541; 655489; 7099911; 1426248; 133070,Structural Change and Economic Dynamics,structural change and economic dynamics,2035692347,20877,10.1016/j.strueco.2006.05.001,Journal,67638930.0,,Sequential problem choice and the reward system in Open Science,2007,2007-06-01T00:00:00.0000000,HAL,45,21,21,http://www.sciencedirect.com/science/article/pii/S0954349X06000166; http://carayol.u-bordeaux4.fr/problem_choice.pdf; https://ideas.repec.org/a/eee/streco/v18y2007i2p167-191.html; https://www.sciencedirect.com/science/article/pii/S0954349X06000166; https://EconPapers.repec.org/RePEc:eee:streco:v:18:y:2007:i:2:p:167-191; https://hal.archives-ouvertes.fr/hal-00652485,Abstract In this paper we present an original model of sequential problem choice within scientific communities. Disciplinary knowledge is accumulated in the form of a growing tree-like web of research areas. Knowledge production is sequential since the problems addressed generate new problems that may in turn be handled. This model allows us to study how the reward system in science influences the scientific community in stochastically selecting problems at each period. Long term evolution and generic features of the emerging disciplines as well as relative efficiency of problem selection are analyzed.,1682540667; 2034495586,Nicolas Carayol; Jean-Michel Dalle
2114433508,Ann Grand,1,30,open science; internet access; public relations; computer science; scientific method,3499; 21751; 1188794; 9965937; 50477,12541; 152658; 8031662; 67146656; 408662,,,2551454523,23198,,,,,Having it all: ownership in open science,2017,2017-01-01T00:00:00.0000000,Taylor & Francis,0,0,0,http://research-repository.uwa.edu.au/en/publications/having-it-all(e644dad9-6feb-40c2-9463-eee10cb466eb).html; http://eprints.uwe.ac.uk/30072/,"If, as the communications scholar Miriam Metzger (2007) suggested, in the digital environment nearly anyone can be an author, in the open science environment nearly anyone can be a producer, consumer or analyser of data. At its most complete, the philosophy of ‘open science’ commits researchers to revealing and sharing the entirety of their practice: questions, data, methodologies, results, models, speculations, wrong turns and all (Nielsen, 2009). Open practice has the power to reveal formerly closed and silent parts of the scientific process, so that anyone, from professional colleagues to interested members of the public (at least, those with internet access), can have direct, unmediated access to research: can indeed ‘have it all’. This chapter argues that breaking the silences of scientific practice raises a number of concerns for both professional and non-professional participants in open science.",2114433508,Ann Grand
2108800170; 2529836368; 2754870965,T. M. Rogerson; Sarah Crecelius; Lin Chambers,3; 1; 2,10; 1; 1,citizen science; open data; engineering ethics; grand challenges; neuroscience; open science; medicine,3490; 7711; 117038; 1918; 426088; 3499; 24337520,24449; 26234; 160541; 19099; 12116479; 12541; 212406322,F1000Research,f1000research,2207166590,22355,10.7490/f1000research.1097692.1,,2755217574.0,,"NASA ROVER, Tackling Citizen Science With Grand Challenges and Everyday Problems",2015,2015-02-11T00:00:00.0000000,,0,0,0,http://nix.nasa.gov/search.jsp?R=20160006872&qs=N%3D0%26Nn%3D4294927808%257cDocument%2BType%257cMotion%2BPicture; https://ntrs.nasa.gov/search.jsp?R=20160006872&qs=N%3D0%26Nn%3D4293925004%257cDocument%2BType%257cStandard%252fSpecification; http://nix.larc.nasa.gov/search.jsp?R=20160006872&qs=N%3D0%26Nn%3D4293925224%257cDocument%2BType%257cThesaurus; https://f1000research.com/posters/1097692,,2529836368; 2754870965; 2108800170,Sarah Crecelius; Lin Chambers; T. M. Rogerson
190887825,Michael R. Crusoe,1,24,nice; medicine; open data; publishing; open science; world wide web; workflow; alternative medicine; software,14548; 24337520; 7711; 272751; 3499; 638747; 54347; 469961; 601704,55982; 212406322; 26234; 471219; 12541; 2286559; 374453; 2017161; 4391816,F1000Research,f1000research,2476199132,21801,10.7490/f1000research.1112513.1,,2755217574.0,,This is why we can have nice things: getting to v1.0 of the common workflow language,2016,2016-07-08T00:00:00.0000000,,0,0,0,https://f1000research.com/slides/5-1622,,190887825,Michael R. Crusoe
2019286018,Geoffrey Boulton,1,93,credibility; printing press; exploit; knowledge management; scrutiny; a major; technological revolution; operations research; open science; open data; engineering,38789; 8229; 56179; 1024349; 23995; 809284; 2209; 327864; 3499; 7711; 15593754,460835; 27814; 705490; 6743109; 198900; 17153188; 16212; 932734; 12541; 26234; 46053911,,,1972966400,21994,10.7557/5.3231,Journal,,,Open Data and the Future of Science,2014,2014-12-08T00:00:00.0000000,,0,0,0,https://www.ub.uit.no/baser/septentrio/index.php/SCS/article/view/3231; http://septentrio.uit.no/index.php/SCS/article/view/3231/3076; http://septentrio.uit.no/index.php/SCS/article/download/3231/3076,">> See video of presentation (54 min.) Open Science is not new, it was the bedrock on which the scientific revolutions of the 18th and 19th centuries were built. Its open publication of scientific concepts and the evidence (the data) on which they were based allowed scrutiny of the logic of an argument and replication of observations or experiments or their refutation. It has been the basis of so-called “scientific self-correction”. But the technological revolution of recent decades has produced an unprecedented explosion in the human capacity to acquire, store and manipulate data and information and to instantaneously communicate them globally, irrespective of location. It has produced fundamental changes in human, social and economic behaviour and has implications for research and learning that are far more profound and pervasive than those that followed Gutenberg’s invention of the printing press, including the way that science engages with the wider community. But the explosion of data is also undermining self-correction through the difficulty of making large volumes of supporting data concurrently available in a scrutinisable form, risking both the method of science and its credibility. This poses a major challenge for modern science to stimulate open release and sharing of data in ways that also facilitate new modes of collaboration and that increase creativity through interaction of many brains and many communities unbounded by institutional walls. We need to challenge and re-define many of the habits and norms of researchers and their institutions if the research community if it is to exploit technological opportunities, maintain self-correction and maximize the contribution of research to human understanding and welfare. Fortunately the response to these imperatives is growing, through the enunciation of principles for open science, the development of procedures and tools and the engagement of researchers, universities, funders, publishers, learned societies and governments.",2019286018,Geoffrey Boulton
2012065263; 111302929,Alberto Baccini; Giuseppe De Nicolao,1; 2,43; 142,research assessment exercise; meta analysis; open science; bibliometrics; social science; data mining; sociology,743; 44881; 3499; 10125; 1849654; 945182; 3920944,9223; 1842616; 12541; 111892; 12646096; 8292622; 17729584,Scientometrics,scientometrics,2473094147,21035,10.1007/s11192-016-2055-6,Journal,148561398.0,,Reply to the comment of Bertocchi et al.,2016,2016-09-01T00:00:00.0000000,Springer,3,2,2,https://ideas.repec.org/a/spr/scient/v108y2016i3d10.1007_s11192-016-2055-6.html; https://link.springer.com/article/10.1007/s11192-016-2055-6; https://usiena-air.unisi.it/handle/11365/1005898; http://dl.acm.org/citation.cfm?id=2990064; http://link.springer.com/10.1007/s11192-016-2055-6; https://EconPapers.repec.org/RePEc:spr:scient:v:108:y:2016:i:3:d:10.1007_s11192-016-2055-6; http://dblp.uni-trier.de/db/journals/scientometrics/scientometrics108.html#BacciniN16a,"The aim of this note is to reply to Bertocchi et al.'s comment to our paper ""Do they agree? Bibliometric evaluation versus informed peer review in the Italian research assessment exercise"". Our paper analyzed results of the experiment conducted by the Italian governmental agency ANVUR during the research assessment exercise about the agreement between informed peer review (IR) and bibliometrics. We argued that according to available statistical guidelines, results of the experiment are indicative of a poor agreement in all research fields with only one exception, results reached in the so called Area 13 (economics and statistics). We argued that this difference was due to the changes introduced in Area 13 with respect to the protocol adopted in all the other areas. Bertocchi et al.'s comment dismiss our explanation and suggest that the difference was due to ""differences in the evaluation processes between Area 13 and other areas"". In addition, they state that all our five claims about Area 13 experiment protocol ""are either incorrect or not based on any evidence"". Based on textual evidence drawn from ANVUR official reports, we show that: (1) none of the four differences listed by Bertocchi et al. is peculiar of Area 13; (2) their five arguments contesting our claims about the experiment protocol are all contradicted by official records of the experiment itself.",2012065263; 111302929,Alberto Baccini; Giuseppe De Nicolao
2098575872; 733128536,María Soledad Ramírez Montoya; Francisco José García Peñalvo,1; 2,127; 163,open innovation; sociology; systematic review; knowledge management; common good; education theory; multimedia; open science; scopus,9854; 3920944; 34531; 1024349; 1677; 32439; 1018109; 3499; 11163,89781; 17729584; 888498; 6743109; 7666; 303229; 3678336; 12541; 48878,Comunicar,comunicar,2786683234,23489,,,98708256.0,,Co-creación e innovación abierta: Revisión sistemática de literatura,2018,2018-01-01T00:00:00.0000000,Grupo Comunicar,0,0,0,https://dialnet.unirioja.es/servlet/articulo?codigo=6235795,"Open science, as a common good, opens possibilities for the development of nations, through innovations and collaborative constructions, which help to democratize knowledge. Advances in this area are still emerging, and the open science, cocreation of knowledge and open innovation triangle, is presented as an opportunity to generate an original contribution from research to open educational theory and practices. The study analyzed the articles that addressed this triangle, in order to identify the contexts and challenges that arise in open innovation and the cocreation of knowledge to promote open science. The method was a systematic literature review (SLR) of 168 articles published in open access format, from January 2014 to May 2017 in the Web of Science and Scopus databases. In the validation process, the York University criteria were used: inclusion and exclusion, relevance of the pertinent studies, evaluation of the quality / validity of included studies and description of data / basic studies. The findings showed that the mostwidely publicized contexts were in the United States and Brazil, in the business and academic sectors (closely followed by the social sector), and the challenges were open to innovation, opening and research. The research concludes that the context and practices of collaboration are substantial elements for innovation and open science.",2098575872; 733128536,María Soledad Ramírez Montoya; Francisco José García Peñalvo
2164082033; 2097342650; 2068887298; 2487978066; 2336524574,Rishi Bharti; Ravi Ramireddy; Ramanan Balasubramanium; Vivek Nuguri; P Ravi Shankar,2; 3; 4; 5; 1,2; 5; 19; 4; 83,open science; perception; alternative medicine; medical education; learning environment; medicine,3499; 294777; 469961; 285194; 38352; 24337520,12541; 4750370; 2017161; 768051; 336571; 212406322,F1000Research,f1000research,1693330395,22411,10.7490/f1000research.1097215.1,,2755217574.0,,"Student's perception of the learning environment at Xavier University School of Medicine, Aruba: a follow-up study",2014,2014-11-19T00:00:00.0000000,,0,0,0,http://f1000research.com/f1000posters/1097215,,2336524574; 2164082033; 2097342650; 2068887298; 2487978066,P Ravi Shankar; Rishi Bharti; Ravi Ramireddy; Ramanan Balasubramanium; Vivek Nuguri
2173742752,Sheng Fen-Ku,1,3,computer science; open data; world wide web; open science,9965937; 7711; 638747; 3499,67146656; 26234; 2286559; 12541,Editage Insights,editage insights,2766869320,25024,,,2764665971.0,,Perspectives of Chinese researchers on open access and open data,2015,2015-10-23T00:00:00.0000000,,0,0,0,http://www.editage.com/insights/perspectives-of-chinese-researchers-on-open-access-and-open-data,,2173742752,Sheng Fen-Ku
2133191819; 2099683809; 2129961575,E. Richard Gold; Sarah E. Ali-Khan; Liam W. Harris,3; 1; 2,59; 14; 3,open science; incentive; intellectual property; cell biology; science policy; biology; knowledge management,3499; 166607; 63869; 770387; 7695; 15777460; 1024349,12541; 2139888; 287063; 24733456; 93386; 292099800; 6743109,eLife,elife,2767019334,21930,10.7554/eLife.29319,Journal,1336409049.0,,Point of View: Motivating participation in open science by examining researcher incentives,2017,2017-10-30T00:00:00.0000000,eLife Sciences Publications Limited,52,0,0,https://elifesciences.org/articles/29319,,2099683809; 2129961575; 2133191819,Sarah E. Ali-Khan; Liam W. Harris; E. Richard Gold
2071458735; 2156811675; 2560328067; 2516435706,Irene V. Pasquetto; Christine L. Borgman; Bernadette M. Randles; Milena S. Golshan,2; 4; 1; 3,9; 262; 3; 7,software; documentation; interoperability; human computer interaction; computation; empirical research; open science; computer science,601704; 184087; 43160; 297754; 194727; 181115; 3499; 9965937,4391816; 1463374; 255945; 2032877; 1965903; 2830279; 12541; 67146656,,,2740279402,21183,10.1109/JCDL.2017.7991618,Conference,,,Using the Jupyter Notebook as a Tool for Open Science: An Empirical Study,2017,2017-06-01T00:00:00.0000000,,8,0,0,http://dblp.uni-trier.de/db/conf/jcdl/jcdl2017.html#RandlesPGB17,"As scientific work becomes more computational and data-intensive, research processes and results become more difficult to interpret and reproduce. In this poster, we show how the Jupyter notebook, a tool originally designed as a free version of Mathematica notebooks, has evolved to become a robust tool for scientists to share code, associated computation, and documentation.",2560328067; 2071458735; 2516435706; 2156811675,Bernadette M. Randles; Irene V. Pasquetto; Milena S. Golshan; Christine L. Borgman
1969552000; 2171039403; 2144987560,Marie-Jean Meurs; Hayda Almeida; Ludovic Jean-Louis,3; 1; 2,45; 12; 23,open science; information retrieval; medicine; search engine; open data; alternative medicine,3499; 325967; 24337520; 118845; 7711; 469961,12541; 2419099; 212406322; 490254; 26234; 2017161,F1000Research,f1000research,2725414392,21912,10.7490/f1000research.1113636.1,,2755217574.0,,Retrieving biomedical literature: an open source search engine based on open access resources,2017,2017-02-04T00:00:00.0000000,,0,0,0,https://f1000research.com/slides/6-104,,2171039403; 2144987560; 1969552000,Hayda Almeida; Ludovic Jean-Louis; Marie-Jean Meurs
2343039940; 2307355102,Keizer Johannes; Caterina Caracciolo,2; 1,1; 32,database; semantics; alternative medicine; open data; open science; biology; software,500001; 90844; 469961; 7711; 3499; 15777460; 601704,4321796; 1162325; 2017161; 26234; 12541; 292099800; 4391816,F1000Research,f1000research,2343565760,22151,10.7490/f1000research.1111433.1,,2755217574.0,,The GACS project – semantics for Open Data,2016,2016-03-15T00:00:00.0000000,,0,0,0,https://f1000research.com/slides/5-355,,2307355102; 2343039940,Caterina Caracciolo; Keizer Johannes
1720079976; 2111535815; 1602724531; 2594754677; 2156708251; 2343621464,Kevin Shee; George M. Church; Robert A. Lue; Nicholas J. Guido; Alain Viel; Michael Strong,1; 5; 4; 3; 6; 2,1; 656; 9; 3; 15; 13,undergraduate research; computer science; documentation; data sharing; open science; open data; coursework; the internet; web 2 0; multimedia; bioinformatics,6224; 9965937; 184087; 11702; 3499; 7711; 8511; 525732; 20732; 1018109; 433362,17222; 67146656; 1463374; 73073; 12541; 26234; 56440; 3887593; 121665; 3678336; 10082370,Journal of Microbiology & Biology Education,journal of microbiology & biology education,1992911083,21008,10.1128/jmbe.v11i2.219,Journal,29957380.0,,"Research, Collaboration, and Open Science Using Web 2.0",2010,2010-12-20T00:00:00.0000000,American Society for Microbiology (ASM),1,1,1,http://jmbe.asm.org/asm/index.php/jmbe/article/view/219/html_67; http://europepmc.org/abstract/MED/23653712; http://jmbe.asm.org/index.php/jmbe/article/view/219; http://europepmc.org/articles/PMC3577171; http://www.asmscience.org/content/journal/jmbe/10.1128/jmbe.v11i2.219; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3577171/,"There is little doubt that the Internet has transformed the world in which we live. Information that was once archived in bricks and mortar libraries is now only a click away, and people across the globe have become connected in a manner inconceivable only 20 years ago. Although many scientists and educators have embraced the Internet as an invaluable tool for research, education and data sharing, some have been somewhat slower to take full advantage of emerging Web 2.0 technologies. Here we discuss the benefits and challenges of integrating Web 2.0 applications into undergraduate research and education programs, based on our experience utilizing these technologies in a summer undergraduate research program in synthetic biology at Harvard University. We discuss the use of applications including wiki-based documentation, digital brainstorming, and open data sharing via the Web, to facilitate the educational aspects and collaborative progress of undergraduate research projects. We hope to inspire others to integrate these technologies into their own coursework or research projects.",1720079976; 2343621464; 2594754677; 1602724531; 2111535815; 2156708251,Kevin Shee; Michael Strong; Nicholas J. Guido; Robert A. Lue; George M. Church; Alain Viel
2109827153,M. Lester,1,468,space age; geophysics; in situ; space exploration; physics; atmospheric sciences; space environment; super dual auroral radar network; ionosphere; open science; coincident,1316; 521919; 45580; 20651; 7412314; 481043; 9367; 326; 73047; 3499; 57181,2954; 7574608; 236672; 66986; 67010517; 5894166; 45242; 6383; 678314; 12541; 1219022,Journal of Atmospheric and Solar-Terrestrial Physics,journal of atmospheric and solar terrestrial physics,1975802110,22349,10.1016/j.jastp.2008.08.003,Journal,207559368.0,,SuperDARN: An example of a network approach to geospace science in the twenty-first century,2008,2008-01-12T00:00:00.0000000,Pergamon,79,4,4,https://www.sciencedirect.com/science/article/pii/S1364682608002149; http://adsabs.harvard.edu/abs/2008JASTP..70.2309L,"Abstract The study of Earth's space environment, or geospace, has made considerable advances in the 50 years since the start of the Space Age, which was coincident with the 1957 International Geophysical Year. Space probes have visited most parts of that environment providing a wealth of in situ and remote-sensing measurements. Equally important in contributing to the advances made over the last 50 years have been the many instruments, which have been distributed on the surface of the Earth. In particular, the development of networks for the specific purpose of studying the dynamics of geospace, energy redistribution within geospace, and fundamental physical processes in plasmas has been hugely successful. Ground-based instruments remotely sense processes and phenomena in geospace and since this volume is large, networks of such instruments are the best way of measuring the global state of geospace and its dynamics. In this paper, I describe ways in which the Super Dual Auroral Radar Network (SuperDARN) has contributed to the success of ground-based networks, concentrating on science results, which have required the network approach so well demonstrated by SuperDARN. Such science includes the remote sensing of the reconnection electric field and its dynamics, the study of processes where asymmetries in the geospace system are induced by the external driving forces, and MHD waves, which play an important role in the transfer of energy and momentum within geospace. In addition, I discuss open science questions, which can be addressed by SuperDARN in the future, in particular in conjunction with current and future space missions as well as other ground-based networks.",2109827153,M. Lester
2150632823,Gavin Simpson,1,219,open science; zoology; biology; limnology; paleontology; principal component analysis,3499; 453917; 15777460; 5110; 407347; 74360,12541; 3579421; 292099800; 63544; 5034967; 1078295,From the Bottom of the Heap,from the bottom of the heap,2608730593,21729,,,2764480933.0,,Tag: Principal component analysis,2017,2017-10-25T00:00:00.0000000,,0,0,0,https://www.fromthebottomoftheheap.net/tag/principal-component-analysis/,,2150632823,Gavin Simpson
2110262601; 2335257330,Lyn Carter; Caroline Smith,1; 2,36; 1,open science; science studies; political science; social science education; science education; outline of social science; science communication; vision science; social science; science technology society and environment education; pedagogy,3499; 3469; 3898535; 12612; 83964; 9078; 8955; 1201; 1849654; 19553; 2516128,12541; 58292; 9001673; 122816; 678292; 92141; 69968; 22643; 12646096; 147717; 11463014,,,2156189331,23047,,,,,Re-Visioning Science Education from a Science Studies and Futures Perspective,2003,2003-01-01T00:00:00.0000000,,31,5,5,,"It is heartening to note that while science education remains predominately conceptualised from normative positions, there is a small but important literature adopting more critical perspectives. Drawn from the oppositional discourses including science studies and ecofeminism, such critiques aim to reformulate science education with far-reaching implications for science curriculum. Given the centrality of science in the Western worldview and the future of the planet, a futures perspective is a critical omission from these critiques. Futures thinking can provide a novel framework for organising the critiques of science, and facilitate the development of principles to re-vision a more open science education.",2110262601; 2335257330,Lyn Carter; Caroline Smith
2105280663; 2125716534; 2164178998; 2584850253; 2612197685; 2612355629; 2653359861; 2087844568; 2224621104; 2553554892; 2646514483; 2189794254,Jaap Heringa; Sanne Abeln; Marco Roos; Luiz Olavo Bonino da Silva Santos; Leon Mei; Jeroen Engelberts; Merlijn van Rijswijk; Celia W. G. van Gelder; Andrew Stubbs; Rob Hooft; Rita Azevedo; Mateusz Kuzak,12; 2; 9; 4; 8; 5; 10; 1; 11; 6; 3; 7,165; 46; 91; 3; 1; 1; 5; 22; 59; 10; 1; 2,alternative medicine; anesthesiology; open data; open science; medicine,469961; 12674; 7711; 3499; 24337520,2017161; 81034; 26234; 12541; 212406322,F1000Research,f1000research,2612390644,21039,10.7490/f1000research.1113374.1,,2755217574.0,,Training efforts in the Netherlands: combining forces to provide data – related training for the life science research community,2016,2016-11-05T00:00:00.0000000,,0,1,1,https://f1000research.com/posters/5-2637,,2087844568; 2653359861; 2224621104; 2105280663; 2125716534; 2646514483; 2584850253; 2612355629; 2553554892; 2189794254; 2612197685; 2164178998,Celia W. G. van Gelder; Merlijn van Rijswijk; Andrew Stubbs; Jaap Heringa; Sanne Abeln; Rita Azevedo; Luiz Olavo Bonino da Silva Santos; Jeroen Engelberts; Rob Hooft; Mateusz Kuzak; Leon Mei; Marco Roos
2125010471; 685925418,Alejandra Marcela Nardi; Lucas Yrusta,1; 2,7; 7,media studies; cartography; geography; open science; scientific modelling,942434; 1650636; 3901913; 3499; 2108,652636; 715854; 5931280; 12541; 28852,,,60952511,25366,,,,,Ciencia Abierta y los desafíos de la Oficina Conocimiento Abierto de la Universidad Nacional de Córdoba,2014,2014-09-14T00:00:00.0000000,,0,0,0,http://eprints.rclis.org/24170/,Changes of scientific activity in recent decades and new forms of circulation and diffusion of knowledge is presented in this paper. Scientists behaving badly are mentioned. Some features of the traditional scientific model are presented and then referring to model associated with open science.,2125010471; 685925418,Alejandra Marcela Nardi; Lucas Yrusta
2135966493; 2269421927; 2163078524,Lionel Granjon; Andrei Gorea; Delphine Rider,3; 1; 2,23; 115; 7,open science; open data; medical education; medicine; alternative medicine; anesthesiology,3499; 7711; 285194; 24337520; 469961; 12674,12541; 26234; 768051; 212406322; 2017161; 81034,F1000Research,f1000research,2728045911,21712,10.7490/f1000research.1110401.1,,2755217574.0,,"Perceived duration, task difficulty and performance: a general metric",2015,2015-09-04T00:00:00.0000000,,0,0,0,https://f1000research.com/slides/4-671,,2269421927; 2163078524; 2135966493,Andrei Gorea; Delphine Rider; Lionel Granjon
